Retraining 186 models with 15 features...
Features: ['RSI_14', 'MACD', 'BB_pct', 'BB_width', 'vol_ratio', 'dist_SMA50', 'mom_5d', 'mom_20d', 'overnight_gap', 'vol_price_div', 'mean_rev_z', 'vol_regime', 'rsi_divergence', 'body_ratio', 'ret_skew']

CoinGecko market_chart for ETH-USD: 180 candles, latest $2,019.26
[140/186] ✓ UNIONBANK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[141/186] ✓ ABCAPITAL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[142/186] ✓ DIVISLAB.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[143/186] ✓ APOLLOHOSP.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[144/186] ✓ AUROPHARMA.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[145/186] ✓ TORNTPHARM.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[146/186] ✓ LUPIN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[147/186] ✓ BIOCON.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[148/186] ✓ NESTLEIND.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[149/186] ✓ BRITANNIA.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[150/186] ✓ TATACONSUM.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[151/186] ✓ MARICO.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[152/186] ✓ DABUR.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[153/186] ✓ COLPAL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[154/186] ✓ GODREJCP.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[155/186] ✓ TRENT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[156/186] ✓ IRCTC.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[157/186] ✓ NAUKRI.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
[158/186] ✓ PAYTM.NS: 681 rows, classes=['BUY', 'HOLD', 'SELL']
[159/186] ✓ NYKAA.NS: 689 rows, classes=['BUY', 'HOLD', 'SELL']
[160/186] ✓ POLICYBZR.NS: 689 rows, classes=['BUY', 'HOLD', 'SELL']
